COURSE,BATCHES,,,,,,,,,,
MA1102,BS17
MA2020,ME16,MM16,NA16,PH16,,,,,,
MA2030,ME16,MM16,NA16,PH16,,,,,,
MA2031,ME16,MM16,NA16,PH16,,,,,,
MA2040,ME16,MM16,NA16,PH16,,,,,,
HS1090,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS1110,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS2370,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002A,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002B,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002C,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002D,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3090,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3280,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS4002,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS4030,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS4210,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS4450,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS4571,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS5920,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS5930,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
